Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo Se 
     -0.53870      2.09793      1.45344      0.64448
     -0.52870      2.58721      1.81229      0.77492
     -0.51870      2.98267      2.14812      0.83454
     -0.50870      2.82784      2.04942      0.77842
     -0.49870      2.38354      1.69823      0.68530
     -0.48870      2.24221      1.56999      0.67222
     -0.47870      2.33879      1.62799      0.71080
     -0.46870      2.54416      1.80193      0.74223
     -0.45870      2.33462      1.67670      0.65792
     -0.44870      2.09780      1.49481      0.60299
     -0.43870      2.36526      1.67025      0.69501
     -0.42870      2.66584      1.89566      0.77018
     -0.41870      3.04833      2.20657      0.84177
     -0.40870      3.43170      2.49683      0.93487
     -0.39870      3.28239      2.34779      0.93461
     -0.38870      2.95337      2.06776      0.88561
     -0.37870      2.38025      1.66142      0.71884
     -0.36870      1.60555      1.15062      0.45493
     -0.35870      1.29100      0.96483      0.32617
     -0.34870      1.13497      0.85905      0.27592
     -0.33870      0.98575      0.74126      0.24449
     -0.32870      1.06055      0.79440      0.26616
     -0.31870      1.08643      0.82235      0.26409
     -0.30870      1.08313      0.83962      0.24351
     -0.29870      1.32195      1.04004      0.28192
     -0.28870      1.39387      1.09162      0.30226
     -0.27870      0.84304      0.65433      0.18870
     -0.26870      0.47841      0.37065      0.10776
     -0.25870      0.72816      0.56806      0.16011
     -0.24870      0.98152      0.76936      0.21216
     -0.23870      0.98640      0.77822      0.20818
     -0.22870      0.73565      0.58329      0.15236
     -0.21870      0.52005      0.41335      0.10671
     -0.20870      0.59916      0.47733      0.12184
     -0.19870      0.77783      0.62348      0.15435
     -0.18870      1.05967      0.85477      0.20490
     -0.17870      1.13768      0.91923      0.21845
     -0.16870      0.77301      0.62316      0.14986
     -0.15870      0.38629      0.31090      0.07539
     -0.14870      0.40482      0.32872      0.07611
     -0.13870      0.66157      0.53845      0.12312
     -0.12870      0.61307      0.49968      0.11339
     -0.11870      0.45101      0.36877      0.08225
     -0.10870      0.50798      0.41605      0.09193
     -0.09870      0.72743      0.59703      0.13040
     -0.08870      0.87351      0.71855      0.15496
     -0.07870      0.61487      0.50687      0.10800
     -0.06870      0.32296      0.26681      0.05615
     -0.05870      0.37864      0.31339      0.06525
     -0.04870      0.49973      0.41417      0.08556
     -0.03870      0.50654      0.42047      0.08608
     -0.02870      0.53839      0.44760      0.09079
     -0.01870      0.49279      0.41026      0.08253
     -0.00870      0.34162      0.28478      0.05685
      0.00130      0.18832      0.15714      0.03118
      0.01130      0.06287      0.05248      0.01039
      0.02130      0.00907      0.00757      0.00150
      0.03130      0.00050      0.00042      0.00008
      0.04130      0.00001      0.00001      0.00000
      0.05130      0.00000      0.00000      0.00000
      0.06130      0.00000      0.00000      0.00000
      0.07130      0.00000      0.00000      0.00000
      0.08130      0.00000      0.00000      0.00000
      0.09130      0.00000      0.00000      0.00000
      0.10130      0.00000      0.00000      0.00000
      0.11130      0.00000      0.00000      0.00000
      0.12130      0.00000      0.00000      0.00000
      0.13130      0.00000      0.00000      0.00000
      0.14130      0.00000      0.00000      0.00000
      0.15130      0.00000      0.00000      0.00000
      0.16130      0.00000      0.00000      0.00000
      0.17130      0.00000      0.00000      0.00000
      0.18130      0.00000      0.00000      0.00000
      0.19130      0.00000      0.00000      0.00000
      0.20130      0.00000      0.00000      0.00000
      0.21130      0.00000      0.00000      0.00000
      0.22130      0.00000      0.00000      0.00000
      0.23130      0.00000      0.00000      0.00000
      0.24130      0.00000      0.00000      0.00000
      0.25130      0.00000      0.00000      0.00000
      0.26130      0.00000      0.00000      0.00000
      0.27130      0.00000      0.00000      0.00000
      0.28130      0.00000      0.00000      0.00000
      0.29130      0.00000      0.00000      0.00000
      0.30130      0.00000      0.00000      0.00000
      0.31130      0.00000      0.00000      0.00000
      0.32130      0.00000      0.00000      0.00000
      0.33130      0.00000      0.00000      0.00000
      0.34130      0.00000      0.00000      0.00000
      0.35130      0.00000      0.00000      0.00000
      0.36130      0.00000      0.00000      0.00000
      0.37130      0.00000      0.00000      0.00000
      0.38130      0.00000      0.00000      0.00000
      0.39130      0.00000      0.00000      0.00000
      0.40130      0.00000      0.00000      0.00000
      0.41130      0.00000      0.00000      0.00000
      0.42130      0.00000      0.00000      0.00000
      0.43130      0.00000      0.00000      0.00000
      0.44130      0.00000      0.00000      0.00000
      0.45130      0.00000      0.00000      0.00000
      0.46130      0.00000      0.00000      0.00000
      0.47130      0.00000      0.00000      0.00000
      0.48130      0.00000      0.00000      0.00000
      0.49130      0.00000      0.00000      0.00000
      0.50130      0.00000      0.00000      0.00000
      0.51130      0.00000      0.00000      0.00000
      0.52130      0.00000      0.00000      0.00000
      0.53130      0.00000      0.00000      0.00000
      0.54130      0.00000      0.00000      0.00000
      0.55130      0.00000      0.00000      0.00000
      0.56130      0.00000      0.00000      0.00000
      0.57130      0.00000      0.00000      0.00000
      0.58130      0.00000      0.00000      0.00000
      0.59130      0.00000      0.00000      0.00000
      0.60130      0.00000      0.00000      0.00000
      0.61130      0.00000      0.00000      0.00000
      0.62130      0.00000      0.00000      0.00000
      0.63130      0.00000      0.00000      0.00000
      0.64130      0.00000      0.00000      0.00000
      0.65130      0.00000      0.00000      0.00000
      0.66130      0.00000      0.00000      0.00000
      0.67130      0.00000      0.00000      0.00000
      0.68130      0.00000      0.00000      0.00000
      0.69130      0.00000      0.00000      0.00000
      0.70130      0.00000      0.00000      0.00000
      0.71130      0.00000      0.00000      0.00000
      0.72130      0.00000      0.00000      0.00000
      0.73130      0.00000      0.00000      0.00000
      0.74130      0.00000      0.00000      0.00000
      0.75130      0.00000      0.00000      0.00000
      0.76130      0.00000      0.00000      0.00000
      0.77130      0.00000      0.00000      0.00000
      0.78130      0.00000      0.00000      0.00000
      0.79130      0.00000      0.00000      0.00000
      0.80130      0.00000      0.00000      0.00000
      0.81130      0.00000      0.00000      0.00000
      0.82130      0.00000      0.00000      0.00000
      0.83130      0.00000      0.00000      0.00000
      0.84130      0.00000      0.00000      0.00000
      0.85130      0.00000      0.00000      0.00000
      0.86130      0.00000      0.00000      0.00000
      0.87130      0.00000      0.00000      0.00000
      0.88130      0.00000      0.00000      0.00000
      0.89130      0.00000      0.00000      0.00000
      0.90130      0.00000      0.00000      0.00000
      0.91130      0.00000      0.00000      0.00000
      0.92130      0.00000      0.00000      0.00000
